,exercise_name,muscle,equipment,imgs
0,['Rickshaw Carry'],['Forearms'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_1.jpg']
1,['Single-Leg Press'],['Quadriceps'],['Machine'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m1-square-600x600.jpg']
2,['Landmine twist'],['Abdominals'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m1-square-600x600.jpg']
3,['Weighted pull-up'],['Lats'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m1-square-600x600.jpg']
4,['T-Bar Row with Handle'],['Middle Back'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg']
5,['Palms-down wrist curl over bench'],['Forearms'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg']
6,['Atlas Stones'],['Lower Back'],['Other'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg']
7,['Dumbbell front raise to lateral raise'],['Shoulders'],['Dumbbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg']
8,['Clean from Blocks'],['Quadriceps'],['Barbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg']
9,['Incline Hammer Curls'],['Biceps'],['Dumbbell'],['https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg']
10,['Straight-bar wrist roll-up'],['Forearms'],[''],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m1-square-600x600.jpg']
11,['Barbell glute bridge'],['Glutes'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg']
12,['Clean and press'],['Shoulders'],['Barbell'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg']
13,['Triceps dip'],['Triceps'],['Body Only'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg']
14,"[""Dumbbell farmer's walk""]",['Forearms'],['Other'],['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg']
